Year,Sale Price,Carpet Area
2009,50000,2997
2009,50000,2048
2009,54555,2764
2009,55173,1372
2009,50450,2321
2009,50000,1796
2009,54721,2609
2009,55230,1095
2009,50592,2403
2009,56494,1228
2009,55429,1865
2009,52392,896
2009,50000,2826
2009,57221,509
2009,51776,1297
2009,55867,1376
2009,50864,1549
2009,54474,1780
2009,52526,2555
2009,53901,1124
2009,50575,2390
2009,50530,1776
2009,57936,2215
2009,50000,802
2009,50000,1138
2009,57971,555
2009,50000,1225
2009,50000,1025
2009,52994,973
2009,56637,527
2009,56935,2625
2009,50000,864
2009,50000,1025
2009,50000,1835
2009,50232,1382
2009,50000,1530
2009,51585,1526
2009,57851,836
2009,50000,2146
2009,50000,547
2009,56649,2897
2009,52554,1171
2009,52280,2469
2009,50000,560
2009,50000,1528
2009,56191,1989
2009,56344,1103
2009,50000,1181
2009,55352,1928
2009,57289,2780
2009,50000,1023
2009,50000,2893
2009,53164,2468
2009,50855,1601
2009,52392,2253
2009,51528,2336
2009,56666,2796
2009,50249,2594
2009,50172,1644
2009,50000,2761
2009,55969,2786
2009,50791,1579
2009,54925,606
2009,50535,1418
2009,50000,2910
2009,50000,2274
2009,50000,1122
2009,56447,2972
2009,50000,2041
2009,57688,1805
2009,53958,2261
2009,50000,2475
2009,50000,2862
2009,53004,1376
2009,50000,2489
2009,52777,1812
2009,50000,1960
2009,52125,2824
2009,50000,2233
2009,56774,2105
2009,51287,2026
2009,53800,2897
2009,56464,2130
2009,54339,1660
2009,50000,1258
2009,56589,742
2009,50000,1563
2009,54986,2581
2009,50000,1993
2009,50000,610
2009,52098,2775
2009,51546,2031
2009,54561,2406
2009,50000,1715
2009,53338,2154
2009,56411,984
2009,50000,2575
2009,50000,1213
2009,50000,1562
2009,53680,2476
2009,50000,1796
2009,50000,592
2009,50759,1754
2009,51694,625
2009,50000,1036
2009,56111,2692
2009,50000,2572
2009,50000,2103
2009,53155,566
2009,53120,732
2009,51616,2656
2009,50534,1669
2009,50000,2658
2009,56561,2633
2009,50000,1727
2009,51287,1166
2009,53815,780
2009,54208,1213
2009,56835,582
2009,50000,1668
2009,50423,2401
2009,56915,2548
2009,50000,550
2009,50000,1184
2009,57282,1216
2009,52158,1969
2009,55248,948
2009,52400,1380
2009,50000,987
2009,54874,2323
2009,50000,2581
2009,50000,2642
2009,50000,2074
2009,51295,2701
2009,51197,749
2009,56383,1173
2009,54888,937
2009,57183,2665
2009,57915,1960
2009,57874,1270
2009,50000,2393
2009,50539,2500
2009,54637,1528
2009,50000,1515
2009,57115,2324
2009,53445,873
2009,56375,2693
2009,50000,723
2009,50592,1762
2009,50000,2724
2009,50000,2302
2009,50000,1352
2009,50000,562
2009,50000,1740
2009,56969,1188
2009,50000,1984
2009,56426,2133
2009,56983,2652
2009,50000,1010
2009,57259,884
2009,53352,904
2009,50699,1017
2009,51944,975
2009,50000,2168
2009,54492,767
2009,50000,2484
2009,50000,1577
2009,54719,2680
2009,51015,1296
2009,50000,637
2009,50000,2731
2009,50000,1853
2009,56296,2375
2009,55927,568
2009,50000,2600
2009,54146,1973
2009,53050,704
2009,57757,2673
2009,50000,542
2009,50000,2406
2009,51893,2658
2009,50000,1260
2009,50000,2642
2009,53754,2494
2009,55677,2435
2009,50895,1399
2009,50000,859
2009,50000,2219
2009,50000,2628
2009,52022,1258
2009,54151,1041
2009,50600,1519
2009,57740,735
2009,56259,888
2009,52996,1262
2009,54007,2348
2009,57946,2948
2009,52683,1123
2009,50000,1752
2009,56312,1077
2009,52679,2622
2009,53208,934
2009,52339,2387
2009,54435,2650
2009,50000,1829
2009,55716,2645
2009,50000,1858
2009,50000,2982
2009,55757,946
2009,50000,2517
2009,50000,1831
2009,50000,748
2009,50000,665
2009,57468,1858
2009,50000,1263
2009,50000,952
2009,50000,2992
2009,50088,2273
2009,54331,1559
2009,50000,1683
2009,55492,2222
2009,50000,2319
2009,50000,2097
2009,51102,1295
2009,50000,1551
2009,50000,2143
2009,50000,1863
2009,53319,2481
2009,55257,1854
2009,50000,2163
2009,50854,2029
2009,51709,2538
2009,50000,1996
2009,50442,2737
2009,50000,1908
2009,50000,1900
2009,50000,1806
2009,57913,1472
2009,52455,2268
2009,50000,1040
2009,56093,1782
2009,50000,2178
2009,50000,2257
2009,52806,2251
2009,50000,1304
2009,55729,2646
2009,50000,2395
2009,57249,2070
2009,50000,1460
2009,56367,1985
2009,53096,1528
2009,52560,1002
2009,57533,897
2009,52343,1370
2009,52206,892
2009,50596,706
2009,50801,1538
2009,50000,2381
2009,50000,1984
2009,50986,1363
2009,50000,1063
2009,55647,1520
2009,53716,595
2009,51971,2423
2009,50625,2778
2009,50000,1209
2009,52992,1979
2009,57323,1934
2009,50000,1576
2009,57307,2207
2009,50000,2195
2009,57039,2233
2009,51655,1939
2009,53173,2794
2009,50000,1335
2009,55893,702
2009,54163,622
2009,51002,900
2009,51614,1266
2009,54358,793
2009,50919,2827
2009,55966,697
2009,55174,2430
2009,50000,2691
2009,50000,1108
2009,56928,1647
2009,50000,686
2009,50000,2294
2009,56453,1159
2009,50000,1653
2009,51293,2161
2009,51457,2932
2009,52509,2259
2009,54907,1148
2009,50000,817
2009,50000,1757
2009,50000,1183
2009,55852,1163
2009,50000,2498
2009,50691,2131
2009,50000,1995
2009,50000,1636
2009,50222,2353
2009,50315,2954
2009,50000,2020
2009,50000,1063
2009,54183,1791
2009,52027,2136
2009,50000,1198
2009,51966,2660
2009,52079,501
2009,52987,1141
2009,51799,2767
2009,57556,2089
2009,50000,1354
2009,50000,2989
2009,50000,2455
2009,54874,1002
2009,50000,2363
2009,53311,1582
2009,50000,2547
2009,56867,1475
2009,50177,2306
2009,54561,689
2009,53932,1062
2009,53308,2399
2009,50949,1767
2009,50000,2028
2009,50000,1146
2009,52560,2568
2009,50000,2714
2009,54204,1797
2009,50000,2935
2009,50000,1100
2009,57921,2863
2009,50000,2561
2009,56041,741
2009,52805,2541
2009,50237,1863
2009,50000,2639
2009,50000,974
2009,57775,1890
2009,52404,1247
2009,50000,521
2009,50000,1794
2009,57991,1630
2009,54662,1595
2009,50000,2138
2009,52004,2669
2009,55486,966
2009,53130,1738
2009,50000,830
2009,50000,1982
2009,50000,2635
2009,50000,630
2009,52253,2185
2009,50000,1269
2009,56548,2891
2009,57237,2015
2009,54435,2933
2009,50188,1715
2009,56310,1455
2009,50000,2824
2009,56251,1684
2009,57740,959
2009,56151,2800
2009,55457,1978
2009,51617,1275
2009,50000,534
2009,51484,879
2009,57838,992
2009,54827,1680
2009,52421,2562
2009,54949,564
2009,50000,1867
2009,55262,1652
2009,50881,2527
2009,51665,1995
2009,50000,1662
2009,56443,2022
2009,52390,891
2009,51905,2198
2009,56922,918
2009,50000,2836
2009,54823,878
2009,56008,2296
2009,54207,2778
2009,54540,2588
2009,50000,2682
2009,56279,700
2009,50000,1457
2009,53527,1263
2009,50878,2764
2009,57784,1291
2009,54087,2753
2009,51303,2455
2009,56738,2085
2009,50000,1521
2009,50000,1629
2009,55123,2000
2009,51833,1202
2009,56938,2949
2009,50000,2079
2009,54760,661
2009,50000,1279
2009,50052,701
2009,50000,1495
2009,56690,2817
2009,50732,1315
2009,50387,955
2009,53002,1775
2009,50536,1516
2009,50000,2843
2009,50000,837
2009,52723,1378
2009,50000,1576
2009,55636,2481
2009,50000,2950
2009,50726,2735
2009,50000,2486
2009,57161,1184
2009,55738,519
2009,53945,2868
2009,50000,899
2009,55966,1471
2009,56088,2406
2009,57377,1666
2009,53967,1615
2009,51748,1333
2009,54817,2323
2009,56261,2482
2009,50000,1353
2009,53306,550
2009,53808,1074
2009,50000,1648
2009,50000,2697
2009,50000,2861
2009,52668,2852
2009,50745,2215
2009,54708,1181
2009,56338,1337
2009,50000,535
2009,52543,1577
2009,52587,2029
2009,50000,2955
2009,56540,2506
2009,52164,1684
2009,56000,627
2009,53867,2565
2009,56657,2316
2009,50988,2258
2009,50000,1069
2009,50000,1846
2009,50000,2395
2009,50000,1125
2009,50000,2186
2009,50000,654
2009,50073,1909
2009,50104,1284
2009,50000,745
2009,54879,2000
2009,51806,2205
2009,52357,1037
2009,57324,2390
2009,57043,2341
2009,50000,1420
2009,50000,1024
2009,50644,2991
2009,55518,2811
2009,50000,2095
2009,50000,1581
2009,50917,1133
2009,57144,1012
2009,53787,1619
2009,50000,1641
2009,50000,1059
2009,50000,987
2009,50000,1396
2009,52186,1712
2009,50000,1203
2009,52400,1970
2009,53082,1080
2009,50000,2794
2009,50000,653
2009,50000,2179
2009,55011,1496
2009,50000,1743
2009,50000,1592
2009,50000,1508
2009,56769,2641
2009,50486,1869
2009,53335,2164
2009,50000,1512
2009,56332,2431
2009,52266,1650
2009,50000,504
2009,52192,1626
2009,56130,1719
2009,50588,1273
2009,52651,1376
2009,50000,1491
2009,56414,546
2009,50000,768
2009,55808,869
2009,50000,1629
2009,50000,1480
2009,52860,2193
2009,50161,1156
2009,50305,619
2009,56174,1330
2009,51541,2310
2009,56486,1581
2009,50000,2474
2009,54348,1869
2009,52330,1240
2009,50334,616
2009,53924,2353
2009,50000,2182
2009,53010,2800
2009,51801,1135
2009,50000,1639
2009,51731,1683
2009,52241,2556
2009,50000,2182
2009,50000,2755
2009,52056,1654
2009,56516,903
2009,56493,2699
2009,50000,2601
2009,50293,2196
2009,50000,1127
2009,51313,1086
2009,56185,2148
2009,51938,1943
2009,50000,1945
2009,54409,603
2009,50000,753
2009,51172,1996
2009,56428,598
2009,50541,2700
2009,55578,2384
2009,56911,2419
2009,54580,952
2009,55048,1377
2009,50000,2801
2009,53691,2549
2009,54872,2034
2009,53702,690
2009,52494,646
2009,50000,2234
2009,50000,2343
2009,54347,988
2009,55019,2459
2009,50000,2163
2009,52419,2885
2009,50000,1140
2009,50000,2302
2009,51588,2469
2009,50000,2698
2009,50301,1938
2009,55406,2134
2009,50000,762
2009,53905,2287
2009,50977,2691
2009,56794,2893
2009,57326,1123
2009,56714,1380
2009,50000,1827
2009,50000,837
2009,50000,1516
2009,54435,2204
2009,50000,2831
2009,54273,1459
2009,51619,2004
2009,53647,952
2009,54086,1315
2009,54576,1158
2009,55150,1046
2009,50000,1715
2009,51530,516
2009,55188,2705
2009,57477,1569
2009,50000,2646
2009,50000,2268
2009,50000,1560
2009,56632,2827
2009,52576,801
2009,50000,680
2009,50000,1106
2009,50029,1456
2009,50000,1199
2009,50000,1492
2009,50000,1297
2009,57972,725
2009,51316,1743
2009,50000,2299
2009,50000,897
2009,50000,2574
2009,56125,1800
2009,56476,1315
2009,57490,2027
2009,56003,2419
2009,50348,1915
2009,54442,1718
2009,56704,900
2009,51190,1139
2009,50000,1658
2009,50000,1454
2009,50645,2985
2009,50000,959
2009,50000,1062
2009,54588,660
2009,56829,2777
2009,53053,2585
2009,50000,2103
2009,50000,1545
2009,53662,969
2009,53120,2193
2010,57114,2540
2010,55000,1293
2010,60975,1192
2010,61023,528
2010,55063,1886
2010,58549,2345
2010,61211,629
2010,57575,648
2010,55000,2099
2010,55000,1201
2010,59337,2208
2010,56819,954
2010,62377,1894
2010,55000,1087
2010,55000,1109
2010,57483,667
2010,55000,1230
2010,60971,1145
2010,55000,2574
2010,62328,841
2010,55000,2122
2010,55000,1901
2010,56042,2200
2010,57102,1879
2010,57312,1819
2010,55320,2581
2010,56132,540
2010,57891,2272
2010,60700,2558
2010,55000,1540
2010,55000,686
2010,61148,524
2010,55000,1562
2010,57714,2589
2010,55000,2589
2010,62677,2139
2010,55713,1438
2010,57026,560
2010,55000,1740
2010,55000,2164
2010,55000,2843
2010,60136,2620
2010,55000,2024
2010,55000,653
2010,58989,1636
2010,57409,2748
2010,57418,2526
2010,55124,864
2010,55000,2262
2010,60016,1250
2010,62661,2285
2010,61328,1812
2010,55000,2616
2010,58415,905
2010,57449,1257
2010,55000,554
2010,55000,597
2010,56970,1833
2010,56938,1750
2010,55000,981
2010,55000,2675
2010,55000,681
2010,60344,1304
2010,57266,581
2010,58702,1808
2010,55000,2071
2010,55000,1414
2010,58175,646
2010,62805,2698
2010,62763,1274
2010,55000,829
2010,60948,2554
2010,59860,2501
2010,55989,1443
2010,55000,1322
2010,57190,1409
2010,57140,664
2010,55000,2023
2010,60916,951
2010,55000,1811
2010,55000,1611
2010,57245,2643
2010,56600,1787
2010,55997,827
2010,55000,2290
2010,62338,2990
2010,55000,2506
2010,55000,2507
2010,57939,630
2010,55565,2358
2010,55000,1013
2010,55000,2420
2010,62775,2439
2010,60015,1245
2010,60273,2576
2010,55000,941
2010,57239,2551
2010,59766,1801
2010,55000,2281
2010,58865,1804
2010,62725,736
2010,60357,1020
2010,55000,1235
2010,62154,627
2010,55000,2606
2010,60176,1092
2010,55000,1803
2010,58427,574
2010,58580,1887
2010,61229,2390
2010,57901,1576
2010,55000,1404
2010,60040,2257
2010,56544,1779
2010,55000,1433
2010,55000,1304
2010,55000,2808
2010,61470,2055
2010,55000,895
2010,56996,970
2010,62173,1206
2010,55000,1909
2010,60314,2023
2010,55000,1752
2010,60342,2734
2010,56881,671
2010,56949,2481
2010,59521,645
2010,56241,2871
2010,58017,2533
2010,56941,875
2010,59550,1665
2010,57002,2550
2010,60674,888
2010,62734,839
2010,60209,1420
2010,55000,765
2010,62536,2924
2010,55000,1762
2010,57648,2271
2010,59550,771
2010,55115,1196
2010,55000,1247
2010,55000,744
2010,55000,817
2010,57730,976
2010,60320,2532
2010,55000,1457
2010,55000,528
2010,57043,1313
2010,55000,2414
2010,56327,2131
2010,55000,1797
2010,55449,792
2010,55000,931
2010,55000,1204
2010,55971,2498
2010,61223,812
2010,55000,2296
2010,60785,2411
2010,57941,2806
2010,55569,1436
2010,55000,2765
2010,56269,1324
2010,55000,725
2010,62330,1889
2010,62015,1384
2010,62234,1833
2010,55000,2107
2010,56254,2094
2010,55000,2304
2010,57830,1271
2010,57350,2368
2010,56238,1585
2010,56090,510
2010,61637,1825
2010,56031,1963
2010,57687,1306
2010,59091,1209
2010,62647,1438
2010,61139,2608
2010,59911,2328
2010,58472,2541
2010,61458,1463
2010,55000,898
2010,55000,2773
2010,55000,1258
2010,55000,750
2010,55000,2961
2010,60161,749
2010,62348,2317
2010,56777,900
2010,61314,1210
2010,57570,1539
2010,57956,1277
2010,55124,546
2010,55585,2061
2010,62891,988
2010,55000,1791
2010,55000,1612
2010,56677,1723
2010,56981,1209
2010,56376,890
2010,55000,2921
2010,55000,2250
2010,61309,2299
2010,55000,838
2010,60160,715
2010,59945,1841
2010,57240,511
2010,56937,2020
2010,60488,829
2010,56190,1540
2010,55240,2136
2010,60453,2822
2010,60478,601
2010,56493,1958
2010,62394,2008
2010,55000,607
2010,55000,834
2010,55000,636
2010,55000,1045
2010,60247,1238
2010,62912,810
2010,55000,1631
2010,55811,1949
2010,60958,992
2010,55000,515
2010,55000,1420
2010,55000,1872
2010,58717,538
2010,62761,863
2010,62315,682
2010,58150,1694
2010,55000,1128
2010,61479,630
2010,55000,2735
2010,56809,1682
2010,55000,1796
2010,55126,1114
2010,55122,1966
2010,55000,901
2010,55000,1434
2010,55000,2919
2010,56506,1489
2010,55870,2000
2010,55000,1226
2010,58172,1326
2010,55000,2021
2010,57673,1621
2010,56949,1332
2010,56882,2815
2010,55000,2323
2010,55000,2969
2010,58152,1115
2010,55750,1818
2010,62772,2363
2010,60267,2843
2010,58905,2949
2010,55000,2636
2010,55000,1565
2010,55000,2272
2010,56229,1100
2010,57641,631
2010,55000,577
2010,55000,2552
2010,56288,1224
2010,55000,1814
2010,61475,2351
2010,56168,2817
2010,59795,1752
2010,57561,1372
2010,58258,1872
2010,55000,2355
2010,60348,1819
2010,59361,2070
2010,60350,1660
2010,56371,875
2010,55000,2408
2010,59685,833
2010,62910,2388
2010,57943,1546
2010,62199,1074
2010,56891,2690
2010,56738,2357
2010,55000,2743
2010,60852,1777
2010,55000,2836
2010,55401,1450
2010,55000,1620
2010,61706,2704
2010,60167,919
2010,60554,1422
2010,55000,1754
2010,55000,977
2010,61640,2535
2010,59504,1812
2010,55000,2469
2010,60901,2192
2010,60516,1971
2010,55000,1702
2010,55000,2938
2010,55622,2169
2010,56767,697
2010,60755,2470
2010,61613,2651
2010,56986,1320
2010,55000,2497
2010,60589,1002
2010,55000,1748
2010,61062,2692
2010,59352,1492
2010,58434,2146
2010,55000,735
2010,55000,2865
2010,55000,2104
2010,60787,724
2010,59111,1223
2010,55342,2310
2010,55000,1641
2010,57489,1933
2010,58659,2873
2010,62362,2168
2010,58195,2720
2010,55966,1958
2010,58837,1915
2010,55000,1346
2010,61120,693
2010,55000,1964
2010,55560,1031
2010,55000,1446
2010,55000,2129
2010,60954,617
2010,56316,1145
2010,56469,2370
2010,59333,503
2010,60002,574
2010,58915,2255
2010,55000,967
2010,62819,505
2010,55000,1746
2010,56283,1419
2010,62846,728
2010,55000,1701
2010,56233,2521
2010,62941,1016
2010,62607,612
2010,59765,1058
2010,55000,1618
2010,55000,2538
2010,55000,2443
2010,56988,2494
2010,55000,2136
2010,55000,1842
2010,59093,820
2010,62977,2119
2010,60231,1691
2010,55000,2560
2010,55000,2719
2010,56038,2173
2010,59865,2442
2010,55000,2687
2010,57041,760
2010,55000,2539
2010,55287,1189
2010,61905,1401
2010,55000,2806
2010,58512,2526
2010,55000,638
2010,60568,2417
2010,55000,2328
2010,55000,2073
2010,55000,819
2010,61150,1153
2010,60230,2637
2010,55000,2548
2010,61869,509
2010,59310,2158
2010,57984,2876
2010,55000,1641
2010,62219,1883
2010,55000,2224
2010,60161,1586
2010,62621,841
2010,55000,647
2010,58567,1188
2010,55000,1607
2010,55256,1348
2010,55000,1466
2010,58162,1992
2010,59762,2703
2010,55000,1161
2010,55415,1502
2010,55000,826
2010,61157,562
2010,61835,2724
2010,55951,1684
2010,55468,2379
2010,58007,1209
2010,62042,1703
2010,59064,2490
2010,59444,524
2010,56413,1163
2010,56941,1705
2010,59506,1702
2010,55000,1262
2010,55000,1375
2010,57546,1454
2010,55000,784
2010,57577,1438
2010,60813,2292
2010,55000,2762
2010,55000,554
2010,55000,2365
2010,55000,2634
2010,60641,2709
2010,60535,2401
2010,60055,1981
2010,59510,1277
2010,62903,1299
2010,61789,554
2010,56943,2420
2010,61954,1330
2010,57804,1446
2010,56565,2201
2010,55984,2259
2010,55142,2661
2010,55000,1487
2010,55000,693
2010,59184,1894
2010,55000,1268
2010,55000,2565
2010,55000,785
2010,61246,2000
2010,62790,928
2010,55000,2832
2010,55000,2579
2010,55000,1222
2010,60343,1451
2010,55000,2982
2010,61302,1636
2010,55000,2894
2010,58389,1489
2010,55765,974
2010,60818,2139
2010,55000,1484
2010,58135,2688
2010,55567,2765
2010,57667,2943
2010,55742,862
2010,55788,2849
2010,55408,845
2010,60227,1314
2010,58669,2570
2010,59446,1211
2010,55000,510
2010,55000,2183
2010,55000,1327
2010,60789,2616
2010,55000,1293
2010,61260,2455
2010,55000,594
2010,55000,629
2010,55373,2871
2010,55000,2594
2010,55000,2562
2010,60049,2763
2010,55000,2400
2010,55000,2775
2010,61104,2432
2010,61045,917
2010,56028,1314
2010,57326,2334
2010,56371,855
2010,56359,2365
2010,57863,2363
2010,55000,885
2010,55000,2622
2010,61420,2125
2010,55000,1847
2010,55000,1036
2010,55000,2791
2010,55000,1074
2010,55000,1436
2010,55000,616
2010,56898,2860
2010,60147,1832
2010,55000,2434
2010,60026,1435
2010,55000,2918
2010,55779,701
2010,62298,1930
2010,61517,626
2010,61111,2354
2010,60789,1705
2010,61397,2967
2010,62999,2145
2010,56166,2136
2010,55000,2292
2010,55000,1103
2010,60541,550
2010,58554,2428
2010,55000,1513
2010,60457,1066
2011,65380,2456
2011,62783,1890
2011,66197,2242
2011,66473,2503
2011,60000,1075
2011,62790,1807
2011,64831,2520
2011,60000,2079
2011,65922,2852
2011,60000,2155
2011,62147,2347
2011,60000,2860
2011,66127,2703
2011,60000,2712
2011,60959,2206
2011,60000,959
2011,60000,2680
2011,66248,1972
2011,63795,2425
2011,66641,2546
2011,61024,760
2011,60109,1947
2011,60000,800
2011,62196,2299
2011,66725,2834
2011,66559,769
2011,60000,2493
2011,60000,2128
2011,60000,2301
2011,66053,1361
2011,60732,1780
2011,60000,1129
2011,60000,1119
2011,60000,2698
2011,64397,1456
2011,60000,625
2011,60000,716
2011,60000,1708
2011,60000,1746
2011,60000,2974
2011,60000,1418
2011,61514,1774
2011,60031,1817
2011,60000,2161
2011,66694,807
2011,62112,1859
2011,64524,1752
2011,63393,1391
2011,60000,2469
2011,61456,2931
2011,60000,1739
2011,62970,2789
2011,63766,775
2011,60000,2439
2011,60000,2881
2011,65314,1468
2011,62973,1816
2011,63577,1543
2011,63070,781
2011,66473,2666
2011,63666,1558
2011,63609,697
2011,61490,1582
2011,60000,1684
2011,61783,1508
2011,64146,1729
2011,60000,1535
2011,60000,989
2011,67951,1774
2011,67312,2613
2011,60000,1582
2011,60299,2540
2011,67997,1402
2011,60000,1855
2011,60975,2248
2011,61320,658
2011,60000,2477
2011,67350,1456
2011,60000,852
2011,60000,2571
2011,65395,1015
2011,60588,1887
2011,66312,1455
2011,60000,2699
2011,60000,2212
2011,60000,1107
2011,60000,903
2011,60000,2967
2011,60000,1730
2011,63533,2640
2011,60182,2427
2011,64916,874
2011,61704,2856
2011,60000,1194
2011,64984,2835
2011,60000,806
2011,66404,2482
2011,64181,2489
2011,65454,1048
2011,60000,811
2011,63058,2237
2011,60000,1254
2011,63914,534
2011,66581,944
2011,60000,1161
2011,60000,527
2011,65524,1773
2011,66568,2882
2011,60000,501
2011,64692,874
2011,63477,2840
2011,62311,1052
2011,66687,2865
2011,62186,2025
2011,60000,2881
2011,60000,2351
2011,60490,2146
2011,66249,1003
2011,67481,2778
2011,61645,2508
2011,60083,629
2011,60232,1337
2011,65353,880
2011,66485,2035
2011,60797,1025
2011,64138,2122
2011,60000,1941
2011,61016,2297
2011,60000,794
2011,67342,1254
2011,63038,1894
2011,60000,685
2011,60000,1439
2011,65093,1769
2011,61305,1791
2011,60000,1029
2011,67256,2568
2011,60000,1293
2011,62643,2647
2011,65015,977
2011,60000,1136
2011,66271,2533
2011,60000,1885
2011,67600,628
2011,65998,1286
2011,60954,2325
2011,65682,1857
2011,63519,2416
2011,62221,1463
2011,60000,872
2011,60000,969
2011,61722,2192
2011,62218,2838
2011,62776,2171
2011,60000,605
2011,60000,1943
2011,62970,2181
2011,60000,501
2011,60207,1679
2011,64503,2637
2011,66383,640
2011,60000,823
2011,67175,2911
2011,60000,1390
2011,60619,2974
2011,63356,1504
2011,67469,520
2011,61612,906
2011,60005,1288
2011,60000,1514
2011,60000,2338
2011,61150,1647
2011,60000,2946
2011,63966,2327
2011,60000,1214
2011,66348,550
2011,60000,835
2011,60000,849
2011,60000,1786
2011,64106,1562
2011,60000,2306
2011,60000,509
2011,63705,1483
2011,65112,2925
2011,61852,2156
2011,61035,2160
2011,60000,1020
2011,60000,2699
2011,60000,1572
2011,67994,1358
2011,60000,1816
2011,66382,2103
2011,60000,549
2011,60000,645
2011,60000,1219
2011,60000,1743
2011,62083,1800
2011,60986,2688
2011,60619,2706
2011,66769,2859
2011,66093,944
2011,60000,2845
2011,67880,1451
2011,65953,535
2011,60000,1607
2011,60000,1975
2011,63173,2298
2011,60000,2345
2011,60000,1908
2011,60000,1695
2011,67145,1899
2011,60000,2208
2011,66472,1184
2011,60000,1849
2011,67808,1864
2011,60000,2890
2011,60000,542
2011,63428,2487
2011,60000,1810
2011,66622,2499
2011,62368,2177
2011,60877,1827
2011,60000,1592
2011,60000,1313
2011,60000,2908
2011,61809,1203
2011,63633,1074
2011,65268,2108
2011,66372,1612
2011,65849,1187
2011,66990,988
2011,63996,1509
2011,60000,1847
2011,61981,844
2011,65367,1486
2011,67116,1514
2011,65281,2299
2011,60475,1881
2011,63232,1016
2011,65273,2018
2011,62184,585
2011,60796,2363
2011,62141,1698
2011,67875,1642
2011,60000,2974
2011,63041,2493
2011,60000,2661
2011,67244,802
2011,60000,1087
2011,62992,2858
2011,60000,993
2011,60000,2167
2011,63801,2137
2011,61136,2649
2011,63646,2509
2011,66145,1461
2011,64900,1526
2011,66664,2632
2011,60000,2875
2011,60000,2463
2011,62643,1973
2011,67989,1677
2011,60000,1164
2011,60000,511
2011,60000,1656
2011,60000,803
2011,60941,2263
2011,60000,2447
2011,66968,2838
2011,60000,1235
2011,60000,804
2011,66555,518
2011,60490,2944
2011,60000,1500
2011,63340,1350
2011,60000,1888
2011,60415,1854
2011,65250,1867
